0,40,2,1,86872,25,9
1,40,2,1,259323,54,10
2,40,2,1,256813,43,14
3,70,2,1,118793,51,13
4,40,2,2,398918,28,9
5,42,2,0,103024,54,9
6,55,2,1,232356,33,9
7,30,2,1,175643,37,9
9,70,2,1,60783,24,10
10,50,2,1,347653,41,15
11,40,2,1,97153,26,12
12,35,2,1,133766,26,7
13,40,2,1,178319,45,13
14,40,2,1,231348,40,9
15,40,2,2,97261,19,8
16,60,4,1,186359,37,9
17,50,2,1,187450,27,13
18,75,2,1,185041,46,9
19,50,2,1,211531,44,10
20,38,2,0,193775,48,13
21,40,2,1,214858,27,9
22,40,2,1,155107,47,9
23,48,0,1,122215,42,9
24,55,2,2,205152,33,11
25,60,2,1,154374,40,15
26,50,3,1,113544,60,13
27,84,4,1,177271,59,15
28,24,1,1,254218,68,11
31,40,2,2,44047,19,9
34,40,2,1,255979,27,13
35,40,3,1,115932,44,14
36,40,2,2,218329,46,10
37,40,2,1,196373,37,9
38,35,2,2,298227,20,10
39,40,2,1,303092,38,9
40,50,2,1,280966,37,10
41,40,2,1,331395,36,11
42,40,2,1,80933,34,9
43,10,3,2,354104,19,10
44,40,2,0,538443,37,9
45,45,5,1,195253,39,15
46,30,2,2,118023,24,10
47,45,2,1,245372,38,13
48,40,5,0,106728,52,12
50,40,2,1,55291,30,13
51,45,2,1,105803,37,9
52,40,3,1,33308,31,11
53,40,1,0,42596,32,13
54,40,5,2,151382,27,9
55,50,2,0,129764,38,10
56,60,2,1,138251,51,9
57,40,2,2,181572,19,10
58,35,4,1,51646,81,10
59,40,2,1,126540,23,6
60,30,2,2,571853,19,9
61,40,2,1,416745,36,13
62,60,2,1,193042,33,9
63,40,2,2,155066,24,11
64,40,2,1,107812,27,13
66,45,5,1,225913,57,10
68,50,5,1,213668,47,15
69,40,2,2,182556,33,9
70,40,2,2,115892,22,7
71,70,5,1,96459,55,6
72,40,2,1,200471,47,11
73,55,3,1,199227,32,13
74,10,2,2,131230,21,10
75,40,0,1,60267,45,9
76,50,2,1,205680,40,14
77,40,2,1,313956,24,13
78,40,2,1,81548,50,9
79,40,2,2,99970,24,13
80,40,0,1,153614,34,12
81,80,0,1,260549,46,10
82,40,2,2,142566,23,9
83,10,2,1,104996,55,4
84,40,2,1,67716,47,9
85,20,2,2,91819,20,10
86,38,1,2,194360,43,14
87,40,2,2,428251,38,10
88,40,3,0,192323,46,9
90,25,2,2,108501,18,10
91,70,5,1,130957,57,16
92,40,2,1,265661,64,9
93,40,2,2,213644,19,9
94,40,2,1,101299,47,9
95,40,2,1,44368,50,10
96,10,3,2,142766,21,10
97,30,3,0,108320,36,14
98,50,2,1,227791,45,10
99,40,2,1,104724,55,16
100,50,4,1,30529,37,13
101,70,2,1,231053,22,7
102,60,2,1,177675,31,10
103,40,5,1,73134,52,13
104,40,2,1,457237,54,14
105,25,2,0,57929,46,9
106,40,5,1,287037,41,9
107,25,2,1,172991,53,10
108,48,4,1,163921,50,9
109,40,2,1,155475,33,9
110,65,2,2,133696,28,13
111,50,5,0,51916,56,9
113,75,5,1,41210,33,13
114,40,1,1,154874,33,10
115,70,3,1,33331,43,15
116,40,2,0,170017,34,9
117,60,2,0,184477,28,11
118,40,2,1,110931,27,9
120,40,2,1,257609,45,13
121,40,2,2,162688,20,11
123,35,2,2,174714,21,12
124,40,2,1,145441,41,9
125,50,2,2,246449,35,9
126,40,2,1,272950,37,9
127,40,2,1,84726,47,10
128,50,2,1,156667,36,13
129,40,1,2,36489,50,6
130,40,2,2,227282,34,10
131,40,0,1,20795,51,9
132,40,2,1,162825,62,9
133,50,3,1,229465,53,16
134,40,2,1,107164,39,9
135,50,1,1,115488,33,13
136,40,5,2,33308,30,9
137,40,2,1,162944,51,9
138,35,5,1,163174,61,15
139,40,2,1,153870,51,9
141,45,2,1,32000,44,13
142,40,2,2,117915,43,14
144,40,2,1,225456,45,13
145,40,2,1,173422,55,10
146,40,3,1,120173,52,4
148,50,2,1,94235,30,13
149,47,2,1,162238,51,14
150,40,2,0,337778,39,10
151,45,1,1,51240,38,13
